date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:02	501193/501193	---MCZ	200	added ('OK')	text/html	etag:W/%22602e5b04be786105a380e7a1c2717d18%22	https://www.cdhat.fr/	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/index.html	(from )
14:36:02	60/60	---M--	200	added ('OK')	text/plain	etag:W/%223c-QMED9oJ07dgQ5uWq2dEgj4RfBfc%22	https://www.cdhat.fr/robots.txt		(from )
14:36:02	28635/28635	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Mar%202024%2013:36:03%20GMT	https://static.wixstatic.com/media/cdef5f_9e54163e1e404c509e4ac69d7b561098~mv2_d_2012_1674_s_2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/cdef5f_9e54163e1e404c509e4ac69d7b561098~mv2_d_2012_1674_s_2.png	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/cdef5f_9e54163e1e404c509e4ac69d7b561098_mv2_d_2/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/cdef5f_9e54163e1e404c509e4ac69d7b561098_mv2_d_2012_1674_s_2.png	(from https://www.cdhat.fr/)
14:36:03	2747/2747	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Mar%202024%2013:36:03%20GMT	https://static.wixstatic.com/media/cdef5f_9e54163e1e404c509e4ac69d7b561098~mv2_d_2012_1674_s_2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/cdef5f_9e54163e1e404c509e4ac69d7b561098~mv2_d_2012_1674_s_2.png	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/cdef5f_9e54163e1e404c509e4ac69d7b561098_mv2_d_2/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/cdef5f_9e54163e1e404c509e4ac69d7b561098_mv2_d_2012_1674_s_2.png	(from https://www.cdhat.fr/)
14:36:03	25947/25947	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Mar%202024%2013:36:03%20GMT	https://static.wixstatic.com/media/cdef5f_9e54163e1e404c509e4ac69d7b561098~mv2_d_2012_1674_s_2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/cdef5f_9e54163e1e404c509e4ac69d7b561098~mv2_d_2012_1674_s_2.png	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/cdef5f_9e54163e1e404c509e4ac69d7b561098_mv2_d_2/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/cdef5f_9e54163e1e404c509e4ac69d7b561098_mv2_d_2012_1674_s_2.png	(from https://www.cdhat.fr/)
14:36:03	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://www.cdhat.fr/)
14:36:04	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.cdhat.fr/)
14:36:04	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.cdhat.fr/)
14:36:05	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2003%20Mar%202024%2013:15:51%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/https___www.cdhat.fr_11/polyfill.io/v3/polyfill.mind82c.js	(from https://www.cdhat.fr/)
14:36:05	16651/16651	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Mar%202024%2013:36:06%20GMT	https://static.wixstatic.com/media/cdef5f_2fa9fc9226ee44919bb7b15aacea4c39~mv2_d_5368_2309_s_2.png/v1/fill/w_218,h_89,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/CDHAT_logo_Pantone_HD.png	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/cdef5f_2fa9fc9226ee44919bb7b15aacea4c39_mv2_d_5368_2309_s_2.png/v1/fill/w_218,h_89,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/CDHAT_logo_Pantone_HD.png	(from https://www.cdhat.fr/)
14:36:06	5055/5055	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Mar%202024%2013:36:06%20GMT	https://static.wixstatic.com/media/cdef5f_c906bf81b10d4172a7b698ec2608794b~mv2.png/v1/fill/w_94,h_34,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Logo_Hateo_mem_Color.png	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/cdef5f_c906bf81b10d4172a7b698ec2608794b_mv2.png/v1/fill/w_94,h_34,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Logo_Hateo_mem_Color.png	(from https://www.cdhat.fr/)
14:36:06	497043/497043	---MCZ	200	added ('OK')	text/html	etag:W/%228a38e7c03e2d0f682a12883ff05c47e1%22	https://www.cdhat.fr/presentation	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/presentation.html	(from https://www.cdhat.fr/)
14:36:07	474653/474653	---MCZ	200	added ('OK')	text/html	etag:W/%221b460a422cf0c0164542f8bc7f219c18%22	https://www.cdhat.fr/collectivites	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/collectivites.html	(from https://www.cdhat.fr/)
14:36:07	512710/512710	---MCZ	200	added ('OK')	text/html	etag:W/%22c1d5f72eab3c972f3570a3e8b9077a80%22	https://www.cdhat.fr/politiques-habitat	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/politiques-habitat.html	(from https://www.cdhat.fr/)
14:36:08	484256/484256	---MCZ	200	added ('OK')	text/html	etag:W/%22723f86e67c4c4c7f2feeb85459c39221%22	https://www.cdhat.fr/operations-amelioration-habitat	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/operations-amelioration-habitat.html	(from https://www.cdhat.fr/)
14:36:08	656378/656378	---MCZ	200	added ('OK')	text/html	etag:W/%229c3f01da288d0efb1bc3e896595e7bc3%22	https://www.cdhat.fr/renouvellement-urbain	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/renouvellement-urbain.html	(from https://www.cdhat.fr/)
14:36:09	439112/439112	---MCZ	200	added ('OK')	text/html	etag:W/%22d3cdc6c8f8bc466fe4fc82d364837bb3%22	https://www.cdhat.fr/logements-et-equipements-communaux	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/logements-et-equipements-communaux.html	(from https://www.cdhat.fr/)
14:36:09	442035/442035	---MCZ	200	added ('OK')	text/html	etag:W/%22f3f2839958e082797fa165cc5f021088%22	https://www.cdhat.fr/actions-sociales	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/actions-sociales.html	(from https://www.cdhat.fr/)
14:36:09	475364/475364	---MCZ	200	added ('OK')	text/html	etag:W/%2250ca1cb907beb56775e11b9b118ef239%22	https://www.cdhat.fr/communication-concertation	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/communication-concertation.html	(from https://www.cdhat.fr/)
14:36:10	448055/448055	---MCZ	200	added ('OK')	text/html	etag:W/%22fe401e0e05aa05abfc700ce52556b3a8%22	https://www.cdhat.fr/particuliers	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/particuliers.html	(from https://www.cdhat.fr/)
14:36:11	474552/474552	---MCZ	200	added ('OK')	text/html	etag:W/%22c77aed55035984c63da55f661fbfbf60%22	https://www.cdhat.fr/coproprietes	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/coproprietes.html	(from https://www.cdhat.fr/)
14:36:12	440429/440429	---MCZ	200	added ('OK')	text/html	etag:W/%229a90ca661ec0175177c5c3eded704ea6%22	https://www.cdhat.fr/expertises-techniques	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/expertises-techniques.html	(from https://www.cdhat.fr/)
14:36:13	527920/527920	---MCZ	200	added ('OK')	text/html	etag:W/%22401cfefb7ac0f506ecb17fe2239e5c58%22	https://www.cdhat.fr/operations-normandie	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/operations-normandie.html	(from https://www.cdhat.fr/)
14:36:14	501932/501932	---MCZ	200	added ('OK')	text/html	etag:W/%22ed8a6c935243e2268c7bc44aec8a21aa%22	https://www.cdhat.fr/operations-bretagne	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/operations-bretagne.html	(from https://www.cdhat.fr/)
14:36:14	469217/469217	---MCZ	200	added ('OK')	text/html	etag:W/%225110c666e3c1357c016dabd9cc3a4b11%22	https://www.cdhat.fr/references-etudes-opah	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/references-etudes-opah.html	(from https://www.cdhat.fr/)
14:36:15	470373/470373	---MCZ	200	added ('OK')	text/html	etag:W/%22f96752ba6d1cadaa3b6aa7d25f90e65a%22	https://www.cdhat.fr/references-animation-opah-pig	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/references-animation-opah-pig.html	(from https://www.cdhat.fr/)
14:36:16	468155/468155	---MCZ	200	added ('OK')	text/html	etag:W/%228c40521eeffa2c0cfd41c765e7beefff%22	https://www.cdhat.fr/references-plh-etude-habitat	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/references-plh-etude-habitat.html	(from https://www.cdhat.fr/)
14:36:17	458676/458676	---MCZ	200	added ('OK')	text/html	etag:W/%227a5ac2fa952f003fadc81703881e98e0%22	https://www.cdhat.fr/references-logements-batiments-communaux	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/references-logements-batiments-communaux.html	(from https://www.cdhat.fr/)
14:36:17	460276/460276	---MCZ	200	added ('OK')	text/html	etag:W/%22886a739a804c441fa13d2bba7120cae4%22	https://www.cdhat.fr/references-coproprietes	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/references-coproprietes.html	(from https://www.cdhat.fr/)
14:36:18	468809/468809	---MCZ	200	added ('OK')	text/html	etag:W/%227cc70cb3a9320b14677429400e530632%22	https://www.cdhat.fr/references-actions-sociales	C:/My%20Web%20Sites/https___www.cdhat.fr_11/www.cdhat.fr/references-actions-sociales.html	(from https://www.cdhat.fr/)
14:36:19	2891/2891	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Mar%202024%2013:36:19%20GMT	https://static.wixstatic.com/media/cdef5f_fe8130e4ab3542e7afaeec2f835cd6ef~mv2.jpg/v1/fill/w_134,h_86,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/cdef5f_fe8130e4ab3542e7afaeec2f835cd6ef~mv2.jpg	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/cdef5f_fe8130e4ab3542e7afaeec2f835cd6ef_mv2.jpg/v1/fill/w_134,h_86,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/cdef5f_fe8130e4ab3542e7afaeec2f835cd6ef_mv2.jpg	(from https://www.cdhat.fr/)
14:36:19	6267/6267	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Mar%202024%2013:36:19%20GMT	https://static.wixstatic.com/media/cdef5f_a007dbb4de034cdf9399d3994a458122~mv2.png/v1/fill/w_105,h_21,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/FR_avec_cdhat.png	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/cdef5f_a007dbb4de034cdf9399d3994a458122_mv2.png/v1/fill/w_105,h_21,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/FR_avec_cdhat.png	(from https://www.cdhat.fr/)
14:36:20	2173/2173	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Mar%202024%2013:36:20%20GMT	https://static.wixstatic.com/media/aee88b_3c5d9aabb51c43399a11a745fecc4c0e~mv2.jpg/v1/fill/w_76,h_50,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/aee88b_3c5d9aabb51c43399a11a745fecc4c0e~mv2.jpg	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/aee88b_3c5d9aabb51c43399a11a745fecc4c0e_mv2.jpg/v1/fill/w_76,h_50,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/aee88b_3c5d9aabb51c43399a11a745fecc4c0e_mv2.jpg	(from https://www.cdhat.fr/)
14:36:20	1544/1544	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Mar%202024%2013:36:20%20GMT	https://static.wixstatic.com/media/cdef5f_c40c61b988a04969bbdd5c4d6540ccfc~mv2.jpg/v1/fill/w_68,h_46,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/cdef5f_c40c61b988a04969bbdd5c4d6540ccfc~mv2.jpg	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/cdef5f_c40c61b988a04969bbdd5c4d6540ccfc_mv2.jpg/v1/fill/w_68,h_46,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/cdef5f_c40c61b988a04969bbdd5c4d6540ccfc_mv2.jpg	(from https://www.cdhat.fr/)
14:36:21	1768/1768	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Mar%202024%2013:36:21%20GMT	https://static.wixstatic.com/media/aee88b_66df6f2a6a5e4649aa750e26b082dd8c~mv2.jpg/v1/fill/w_68,h_38,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/aee88b_66df6f2a6a5e4649aa750e26b082dd8c~mv2.jpg	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/aee88b_66df6f2a6a5e4649aa750e26b082dd8c_mv2.jpg/v1/fill/w_68,h_38,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/aee88b_66df6f2a6a5e4649aa750e26b082dd8c_mv2.jpg	(from https://www.cdhat.fr/)
14:36:21	2273/2273	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Mar%202024%2013:36:21%20GMT	https://static.wixstatic.com/media/aee88b_64f12c3e32ab4191a40ca274c5e21a66~mv2.jpg/v1/fill/w_68,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/aee88b_64f12c3e32ab4191a40ca274c5e21a66~mv2.jpg	C:/My%20Web%20Sites/https___www.cdhat.fr_11/static.wixstatic.com/media/aee88b_64f12c3e32ab4191a40ca274c5e21a66_mv2.jpg/v1/fill/w_68,h_90,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/aee88b_64f12c3e32ab4191a40ca274c5e21a66_mv2.jpg	(from https://www.cdhat.fr/)
